About how long have you been receiving information or resources from community veteran service providers?,Active military members/veterans can thrive in my community:To what extent do you disagree or agree with the following statements:,Approximately how much was your household annual income for the previous year?Â ,Approximately what is your credit score?,Are highly responsive:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,BMI,Community is involved with veterans?,Do you consider your current job a career?,FactorAnalysis0,FactorAnalysis0@FactorAnalysis0,FactorAnalysis1,FactorAnalysis1@FactorAnalysis0,FactorAnalysis1@FactorAnalysis14,FactorAnalysis1@FactorAnalysis4,FactorAnalysis3,FactorAnalysis3@FactorAnalysis1,Has Community Opportunities?,Has Dependable Support?,Has empowered me:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,Has helped me feel more fulfilled in my daily life:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,Has reliable transportation?,Have assisted me with filing healthcare/benefits claims:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,Have connected me to other veterans:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,Have connected my family/caregiver to other active military/veteran family members or their caregivers:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,Have improved my community's understanding of active military/veterans issues:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,How many are dependents?,How often do you participate in spiritual or religious practices? Â ,How would you rate your level of satisfaction with the education benefits and programs?: Rate the resources you may have received from VA or a community-based program:,I am able to adapt when changes occur:Please indicate how frequently you find each statement below to be truthful to you:,I have the resources I need for my care:To what extent do you disagree or agree with the following statements:,"I tend to bounce back after illness, injury, or other hardships:Please indicate how frequently you find each statement below to be truthful to you:",Number of Deployments:,Organizations in my community provide active military/veterans with the services they need:To what extent do you disagree or agree with the following statements:,"Overall, how satisfied are you withÂ your community's ability to provide information and resources? Please use the scale below to indicate your level of satisfaction.",Owns a car?,Seeking Value,There are opportunities for my family/caregiver  to connect with fellow military/veteran families/caregivers:To what extent do you disagree or agree with the following statements:,There is a strong network of support for active military/veterans in my community:To what extent do you disagree or agree with the following statements:,Veteran serving organizations care deeply about my well being?,"You mentioned earlier you were seeking access to better employment or obtaining employment, how long have you been activelyÂ seekingÂ employment?",Hope Scale Score
2.0,2.0,3.0,1.0,2.0,57.299063269430796,True,1.0,-0.9811687611973602,0.9626921379495624,-0.45341574063245443,1.0349858224835726,0.15011013604624995,-0.10763351690539008,1.7525555089047933,0.27644752066208306,True,True,2.0,3.0,True,3.0,2.0,3.0,3.0,3.0,1.8,2.0,3.0,2.0,2.0,3.0,3.0,3.0,True,24.0,2.0,3.0,True,1.0,50.0
5.0,2.0,1.0,4.0,2.0,57.2282240100536,True,1.0,0.3712867579696018,0.13785385664357766,-0.09195861271971083,1.0411286761420337,-0.04853138881874287,-0.10105198037594282,0.2436553531368963,0.7471171367032649,True,True,1.0,2.0,True,3.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,100.8,2.0,3.0,True,11.0,2.0,2.0,True,3.0,46.0
1.0,2.0,5.0,2.0,2.0,33.79229437487892,True,1.0,-0.7633289337063809,0.5826710610333204,-0.7967729147284552,1.030638847015218,1.4336960683949702,0.06521179413007262,1.2631660249527075,0.5488112042630807,True,False,3.0,2.0,True,2.0,2.0,2.0,3.0,3.0,2.6,1.0,3.0,2.0,2.0,21.8,2.0,3.0,True,17.0,2.0,3.0,True,1.0,46.0
2.4,3.0,4.0,2.2,2.2,70.0,True,1.0,0.24641781823071132,0.060721741141583886,-0.613812019665232,1.0328111944849094,-0.725194771235287,-0.6149005708637256,-0.22564143095923772,0.7896704592903295,True,True,2.4,2.6,True,1.4,2.8,2.8,2.6,2.8,2.6,0.0,4.0,3.0,4.0,1.0,2.8,3.2,True,11.0,2.8,2.8,True,2.0,57.0
5.0,3.0,5.0,3.0,3.0,66.428776029,True,1.0,1.3483782273931488,1.8181238441078902,-0.9284128394874439,1.0292456948790696,-0.3526890351907365,-0.8871592529165778,-0.6612639386406731,0.8180852647351119,True,True,1.8,2.0,True,1.8,3.0,3.0,3.0,1.0,4.0,0.8,4.0,3.0,4.0,13.0,3.0,3.0,True,2.8,3.0,3.0,True,0.8,63.0
1.6,0.0,5.0,3.0,1.8,56.762870141967774,False,1.0,0.8159275935562545,0.6657378379265005,0.21022170120753342,1.0482044622834845,0.07796209030210585,0.2706672327785272,0.08023611150652263,0.7637605084625374,False,True,2.0,2.4,True,2.4,2.2,2.4,2.4,1.0,1.0,1.8,1.0,2.0,3.0,102.6,1.0,2.8,True,8.0,2.0,1.0,True,0.0,40.0
1.0,2.0,3.0,1.0,2.0,22.96647251432677,True,1.0,-0.595646190278531,0.354794383993328,-1.0963924805761502,1.0276418503672817,0.42515544704465563,0.14489291333999912,0.6177255259333376,0.6984951090633581,True,True,3.0,3.0,True,3.0,2.0,2.0,3.0,2.0,2.4,2.0,2.0,2.0,3.0,300.0,3.0,3.0,True,13.0,3.0,3.0,True,0.0,45.0
2.0,2.0,3.0,3.0,0.0,32.32454058223014,False,1.0,-0.4764912437940034,0.22704390541235642,1.3907724618126993,1.147019753794157,-0.29683387365432035,-3.3839672148020594,-0.4371091363225896,0.804494592984815,True,False,1.0,3.0,False,1.0,3.0,1.0,2.0,3.0,1.8,0.0,1.0,2.0,3.0,120.4,2.0,2.0,False,14.0,3.0,1.0,False,1.0,20.0
4.0,2.2,4.0,2.4,2.0,34.7701759912514,True,1.0,-0.7911657790655975,0.6259432899644738,-0.5261329278950415,1.033965257579343,-0.47116185249121956,0.1367167071492487,1.0401131821011873,0.6148841521513562,True,True,2.0,1.0,True,3.0,2.0,2.0,3.0,2.0,2.6,1.0,2.0,3.0,3.0,400.0,2.0,3.0,True,16.0,3.0,2.0,True,1.0,46.0
3.0,2.0,3.0,4.0,2.0,34.179472239850895,True,1.0,-0.7513418344676529,0.5645145522212179,-0.845555347393306,1.0301073690844478,-0.6906300641440121,0.3633503859124092,1.2323395697778128,0.559261512349262,True,True,2.6,2.0,True,3.0,2.0,2.0,2.0,5.0,3.0,1.0,3.0,2.0,2.0,82.6,3.0,4.0,True,15.0,2.0,2.0,True,0.0,44.0
1.0,3.0,5.0,3.0,2.2,62.68103554197145,True,1.0,-0.34178626973592974,0.11681785418000172,-0.9369623257419302,1.0291595836399583,0.5660157735025204,-0.49972352132411535,0.8318190451982244,0.6612139287940636,True,False,2.6,2.6,True,2.0,2.4,2.0,2.2,2.0,2.0,2.0,3.0,3.0,2.0,42.2,3.0,2.8,True,14.0,3.0,3.0,True,0.0,39.0
3.0,1.0,5.0,4.0,2.4,70.0,False,1.0,1.1871354105263614,1.4092904829255926,0.7218848943192744,1.0680186314206042,1.7206499926045977,-1.427852215648181,0.8333850327051376,0.660907239524467,False,True,2.0,2.0,True,1.2,1.0,1.0,1.0,3.0,4.0,1.0,4.0,2.0,4.0,7.0,1.0,1.0,True,6.0,1.0,1.0,True,3.0,62.0
2.0,2.0,5.0,2.0,3.0,43.045529542024674,True,1.0,-1.2574258550864443,1.5811197810398756,-0.5951192533022669,1.033050609647041,0.26580482547220335,-0.7864685267405671,1.615105063624462,0.3813379550011663,True,True,3.0,2.0,True,3.0,3.0,2.0,3.0,0.0,2.0,2.0,2.0,3.0,3.0,1.8,2.0,3.0,True,24.0,3.0,3.0,True,1.0,49.0
4.0,3.0,3.6,2.4,2.0,18.218320922491976,True,1.0,-0.6844936651978182,0.4685315776959428,-0.8764407181290865,1.0297803061414115,0.014211895716999247,-0.4485419308517958,0.6910507660633037,0.6866866570322979,True,True,2.0,2.0,True,2.0,2.0,2.0,3.0,3.6,2.2,2.0,3.0,2.0,2.0,22.2,3.0,3.0,True,16.0,2.0,2.0,True,1.0,54.0
5.0,1.0,5.0,1.8,1.8,70.0,False,1.0,0.9075890179786018,0.8237178255553628,0.9588094268399243,1.0840081732687863,1.105830800676493,1.2259266132926876,0.541796570336086,0.7098200366337706,False,True,1.8,1.8,True,1.8,1.6,2.2,2.4,1.0,4.0,0.0,3.0,2.0,3.0,102.6,2.0,2.6,True,9.0,1.0,1.0,False,0.0,56.0
0.0,1.8,3.6,2.4,2.0,60.33175023218496,True,1.0,-0.4278370852182854,0.1830445714880784,0.3587865794594875,1.052658438882186,0.1480991173990416,-0.16452905988181588,-1.5276597303585973,0.8566120723868509,True,True,1.6,2.4,False,2.0,2.0,2.0,2.0,3.2,2.4,1.0,2.0,2.0,2.0,26.4,2.2,2.0,False,11.0,1.8,2.0,False,1.0,34.0
2.0,3.0,2.0,3.0,1.0,15.0,True,1.0,-0.5867844516391104,0.3443159926854115,0.05113492300355808,1.0442010486882345,0.01873912644299937,-0.031216358905276385,-0.8145695903917028,0.8263416134967254,True,True,2.0,2.0,False,2.0,2.0,2.0,2.0,3.0,1.2,1.0,3.0,3.0,2.0,101.8,3.0,4.0,False,16.0,3.0,3.0,True,1.0,48.0
5.0,3.0,2.0,3.0,3.0,70.0,True,1.0,1.124217296901103,1.263864530651623,-1.5377451934379858,1.024160586505534,0.9646162677331446,-0.11040113861786827,-0.5701749756650122,0.8127970065613898,True,True,3.0,3.0,True,3.0,3.0,2.2,3.0,2.0,2.8,1.8,4.0,3.0,4.0,2.0,3.0,4.0,True,1.2,3.0,3.0,True,0.2,53.0
1.0,2.0,3.4,2.6,3.0,30.727037895415105,True,1.0,-1.0918646332625246,1.1921683773695073,-0.4056364496144201,1.035690451276531,-0.04200325870703962,0.01715373196579941,-1.095642884580418,0.8396818707760133,True,True,2.0,3.0,False,2.0,3.0,2.0,2.0,2.8,2.4,2.0,3.0,3.0,3.0,1.2,3.0,4.0,False,19.0,2.0,3.0,True,0.0,42.0
1.0,2.0,4.0,3.0,3.0,59.77979844666667,True,1.0,0.38278306565220066,0.14652287535009695,-0.752388513460027,1.0311389779229558,-0.8140830400163565,-0.6455341013868777,-0.1453880890560353,0.7834387029014105,True,True,2.8,3.0,True,2.0,2.0,3.0,2.2,4.0,2.2,1.0,2.0,2.0,2.0,140.6,2.0,2.0,True,9.0,3.0,2.0,True,1.0,31.0
0.0,2.0,1.0,2.2,2.0,34.796025539000006,True,1.0,-1.0182399723853168,1.0368126413632508,-0.1750957509151702,1.0395321826529693,0.22283436142828142,0.05822679313989505,-0.32847628140964824,0.7971501146065997,True,True,2.0,3.0,False,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,126.8,3.0,3.0,False,17.0,3.0,3.0,False,0.0,42.0
3.0,2.0,1.0,3.0,2.0,22.920516712565224,False,1.0,-0.7173809451133283,0.5146354204116921,-0.1008058853316797,1.040952676014463,-0.16156738253942773,0.03583818412327483,-1.4725717823317617,0.8546548692903366,True,True,2.4,2.0,False,3.0,3.0,2.0,2.0,4.0,1.8,1.0,1.0,2.0,2.0,84.4,2.0,2.0,False,14.0,3.0,3.0,True,2.0,33.0
3.0,3.0,3.0,3.0,3.0,50.633854277975686,True,1.0,0.594915575466999,0.3539245419332306,-1.1085187241631098,1.0275328517089377,-0.04225735242321374,0.11048102422103474,-0.4404782628651465,0.8047138803937018,True,True,2.4,2.0,True,2.0,3.0,2.0,2.0,1.0,2.4,1.0,2.0,2.0,1.0,150.4,2.0,3.0,True,4.4,2.0,2.6,True,0.4,42.0
2.0,2.0,5.0,4.0,2.6,41.6323596325,True,1.0,1.369578220427536,1.8757445018694563,-0.8895378253874815,1.0296437490596246,0.07502633304771299,-0.8222767728510539,-0.5222737879985638,0.8098907867509063,True,True,2.8,2.6,True,2.8,2.4,2.8,2.8,0.0,4.0,1.0,3.0,2.0,3.0,182.0,3.0,2.8,True,3.0,2.0,2.0,True,1.0,54.0
1.2,2.0,5.0,2.4,2.4,54.673889735802476,True,1.0,0.33647787432178755,0.11321735990810866,-0.18723942031528035,1.0393093018741522,0.06300685322475062,-0.035958746482423615,0.8950769478312235,0.6483670961699355,True,True,1.6,1.8,True,2.2,2.2,2.2,2.2,0.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,2.8,True,11.0,1.6,2.0,True,1.0,53.0
3.0,2.0,5.0,4.0,3.0,15.0,True,1.0,-0.8373156113005921,0.7010974329276842,-1.1094050376970435,1.0275249186409257,0.059645136092844074,0.026797042028725297,1.8264020347538648,0.2039346590222501,True,True,2.0,2.0,True,3.0,3.0,3.0,2.0,3.0,1.6,2.0,4.0,3.0,3.0,161.8,3.0,4.0,True,20.0,2.0,3.0,True,0.0,56.0
4.0,2.0,3.0,4.0,1.6,62.78954524346066,False,1.0,1.4387261213515332,2.069932852259227,1.034364882566094,1.0908163017001635,-0.9549490488634277,0.3870044190637303,-0.16759464037575147,0.7851997178120621,False,False,2.0,1.8,True,3.0,0.0,0.0,2.0,0.0,2.2,1.2,1.0,3.0,3.0,1.0,1.8,3.0,True,3.0,0.0,0.0,True,1.0,50.0
5.0,2.0,5.0,4.0,2.0,56.93895088200001,True,1.0,2.012584183633278,4.0504950962108275,-0.1112884696711183,1.040746084211279,0.004770550634207944,-0.20321081093665486,-0.8800386707314349,0.8296434611688022,True,True,1.8,1.0,True,2.0,2.2,1.8,2.0,1.0,3.0,1.4,4.0,3.0,4.0,1.0,2.0,3.0,True,0.4,1.8,2.0,True,0.4,55.0
2.0,3.0,4.0,3.0,2.0,32.83428666639153,True,1.0,-0.6628767627800364,0.4394056026337406,-0.541384026261662,1.0337587202455807,-0.33508875705534974,0.37009577614518546,-0.727447248252065,0.8217439649498828,True,True,2.0,3.0,False,3.0,2.0,2.0,2.0,3.0,2.2,1.0,3.0,2.0,0.0,2.0,3.0,4.0,False,13.6,2.0,3.0,True,0.6,50.0
2.0,2.0,3.0,2.8,2.0,42.95144141809269,True,1.0,-1.0583816163589512,1.1201716458465862,0.2711866390584633,1.0499377592890666,0.10513444113888852,0.05392249682260982,-0.915583929909957,0.8313840864093561,True,True,2.0,2.0,False,2.0,3.0,2.0,2.0,4.0,1.6,1.0,1.0,3.0,2.0,41.8,2.0,2.0,False,19.0,3.0,3.0,True,1.0,31.0
5.0,2.0,3.8,0.0,0.0,63.8785660930831,True,1.0,-0.42856186051913703,0.18366526829162427,1.4192966651307002,1.154681061681011,-2.6294096865808463,-1.0445777513773284,-0.21057983576855635,0.7885283977039651,True,False,1.0,2.0,False,2.2,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,False,14.4,2.0,1.0,False,1.4,39.0
4.0,2.0,3.8,4.0,2.2,69.59205107800001,True,1.0,1.3154163668577579,1.7303202181972634,0.21484188859250603,1.0483315941753637,-0.04506354073150637,0.5660170035953698,-0.47144953033673587,0.8067069061719723,True,True,2.2,2.2,True,2.2,2.0,2.2,2.2,2.2,4.0,1.0,3.0,2.0,3.0,5.6,1.0,3.0,True,7.2,2.0,2.0,True,1.2,42.0
1.0,3.0,3.0,3.0,2.0,68.83667257364922,True,1.0,-1.028188899778479,1.057172413627679,-0.3299732022189384,1.0368662767149033,0.1749067957612489,-0.4878939257205518,1.950466232536934,0.0427664752218152,True,True,2.0,2.0,True,2.0,2.0,2.0,2.0,5.0,2.0,2.0,4.0,2.0,1.0,105.0,3.0,4.0,True,24.0,3.0,3.0,True,1.0,46.0
3.0,2.0,4.0,2.0,3.0,48.03554258374711,True,1.0,0.49922509743462157,0.2492256979086074,-0.8881551253583047,1.0296581066341604,1.294250764764279,0.25557925549392746,-0.13286987488457158,0.7824332029275567,False,False,2.2,2.0,True,3.0,2.4,2.0,3.0,1.0,2.4,1.0,2.0,3.0,2.0,120.6,2.0,3.0,True,5.4,3.0,2.0,True,0.4,39.0
5.0,2.0,5.0,4.0,2.0,67.04172897967128,False,1.0,1.924046251597759,3.7019539782873867,0.4587285582734683,1.0561484794961147,0.47594152901070286,-0.785756033987569,0.7276332755160344,0.6804425908272193,True,True,2.0,2.0,True,3.0,3.0,2.0,2.0,1.0,3.0,1.4,4.0,3.0,3.0,2.0,1.0,2.0,True,5.4,3.0,1.0,True,0.4,57.0
2.0,1.0,2.0,2.0,2.0,20.50318675690206,True,1.0,-0.8878282837526394,0.7882390614311573,0.4014322085697044,1.0540931393816102,0.46111292369233453,0.19050512994234797,-1.5276221280393205,0.8566107544031963,False,True,2.0,1.0,False,2.0,2.0,2.0,1.0,3.0,1.6,1.0,2.0,1.0,3.0,104.0,2.0,3.0,False,16.0,3.0,2.0,True,1.0,35.0
5.0,0.0,3.2,3.0,1.0,58.17244413623569,False,1.0,0.8895530301689897,0.7913045934828314,1.1662736818825419,1.1057831610358826,1.0004701786469228,-0.12965716351773085,0.22127514545173066,0.7495337047486144,False,True,2.0,1.0,True,1.0,2.2,2.0,1.0,2.0,2.2,1.0,2.0,2.0,2.0,20.8,1.0,2.0,True,5.0,2.0,1.0,False,0.0,31.0
3.0,2.0,5.0,2.4,3.0,52.879732537355416,True,1.0,0.17111351787711146,0.029279836000280543,-0.6114565899820731,1.0328411714306365,0.009180807046406331,0.3152093395670168,-2.174895154275159,0.8761989581330656,True,True,3.0,3.0,False,3.0,2.0,2.4,3.0,0.0,1.4,0.0,3.0,3.0,2.0,102.8,2.0,3.0,False,6.0,3.0,1.0,True,0.0,42.0
1.0,2.0,3.4,2.6,1.0,17.996103182443754,True,1.0,-0.16203756809222641,0.02625617347324291,0.7460799750285907,1.0693669234106709,0.19317404702441537,0.51867569328125,-1.3658036469687034,0.8507052717722661,True,True,2.0,1.0,False,2.0,2.0,2.0,2.0,3.4,2.0,1.0,2.0,1.0,1.0,12.2,2.0,2.0,False,14.0,2.0,1.0,True,2.0,38.0
3.0,2.0,5.0,3.0,3.0,15.0,True,1.0,-0.2264574378233779,0.05128297114552907,-0.8614893052165277,1.0299377432153434,0.16158655529699661,0.5932426977658493,1.550662421244106,0.42071009296535766,True,True,2.0,2.0,True,2.0,3.0,3.0,2.0,2.0,1.2,1.0,3.0,3.0,3.0,107.0,3.0,3.0,True,17.0,2.0,2.0,True,1.0,50.0
5.0,3.0,4.2,4.0,3.0,66.3775192573727,True,1.0,2.0097678802944245,4.039166932663145,-1.2723147461817774,1.026140512050911,0.7562741884580484,2.3294756308118427,0.42725147052849877,0.7253811445017626,True,True,3.0,3.0,True,2.6,3.0,3.0,3.0,1.6,4.0,2.0,4.0,3.0,4.0,1.0,3.0,4.0,True,2.6,3.0,3.0,True,0.6,59.0
2.0,2.0,4.0,2.4,2.0,39.98463762940382,True,1.0,-0.6080009882269594,0.3696652016849592,-0.6063459865658793,1.0329064014894287,0.32435910158422937,-0.1134675335074492,1.0490789636524935,0.6126038042023655,True,True,2.0,2.0,True,3.0,3.0,2.0,3.0,5.0,3.0,2.0,3.0,2.4,2.0,104.8,3.0,2.0,True,15.0,3.0,2.6,False,0.0,42.0
2.0,1.6,3.0,1.0,1.8,31.316422985100004,False,1.0,-1.8848294905545906,3.5525822084642775,1.346683775927449,1.1365648881548984,-1.8865324127583358,0.09752676705745324,0.37046477987563453,0.7324929260467322,True,False,1.4,1.2,False,1.2,1.4,1.4,1.6,3.0,2.2,2.0,3.0,1.6,4.0,28.6,1.6,2.0,False,25.0,1.6,1.6,False,2.0,29.0
5.0,1.0,5.0,2.8,1.0,70.0,True,1.0,1.0295564942390039,1.059986574829708,2.431633102006687,0.8179007796324506,-2.911729477640901,-3.040799177507266,1.3887674539828394,0.5005607039884987,False,False,0.0,0.0,True,0.0,0.0,0.0,0.0,2.0,2.2,1.0,2.0,1.0,2.0,2.0,1.0,0.0,True,7.0,2.4,1.0,False,3.0,37.0
0.0,2.0,3.0,2.0,2.0,55.91259505012925,True,1.0,-0.06581658560148018,0.004331822940236968,-0.6100654496480606,1.0328589018572192,0.5697789312393563,-0.579928027242698,0.41426841613226606,0.7270402426431859,True,True,3.0,3.0,True,3.0,2.0,1.0,1.0,3.0,2.2,2.0,2.0,2.0,1.0,100.8,2.0,3.0,True,12.0,3.0,3.0,True,0.0,37.0
2.0,2.0,2.0,2.0,1.0,15.0,False,1.0,-0.0036194680247656455,1.3100548782300923e-05,2.0929165066274527,0.32931960109412595,0.7666081775376796,-0.29879647823247957,-0.8147134076986924,0.8263490070023697,False,False,2.0,0.0,False,1.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,12.4,0.0,3.0,False,13.0,2.0,1.0,True,1.0,24.0
0.0,3.0,1.0,2.6,1.0,42.52413646117971,True,1.0,-1.3752270357517404,1.8912493998625188,0.20694459440053023,1.0481146921012612,0.24674398953048904,0.10162156547214525,-0.9316197645391943,0.8321577597289755,True,True,2.0,2.0,False,3.0,2.0,2.0,1.0,4.0,2.2,2.0,2.0,2.0,1.0,59.6,3.0,1.0,False,19.0,2.6,3.0,True,0.0,36.0
1.0,2.0,4.2,3.0,3.0,52.44637657343507,True,1.0,-1.2136168799295832,1.4728659312500165,-0.5647268698265667,1.0334474203894755,0.2929110912413343,-0.5009599372772556,1.9177992564662238,0.09121220944378922,True,True,2.0,3.0,True,2.0,2.0,2.0,3.0,2.4,3.0,2.0,4.0,2.0,4.0,101.8,2.0,3.0,True,23.0,3.0,3.0,True,0.0,56.0
2.0,2.0,4.0,2.0,1.0,21.45364021052246,False,1.0,-0.373190472904094,0.13927112906638134,0.6000566606901737,1.0619550513720974,-0.32820612781440495,-0.593438196228922,-1.296849889101998,0.8480383977568247,True,False,2.0,1.0,False,3.0,2.0,2.0,3.0,2.0,1.6,1.0,2.0,3.0,3.0,122.4,2.0,3.0,False,12.0,2.0,3.0,True,1.0,39.0
5.0,3.0,5.0,3.0,2.0,32.558525907535724,True,1.0,-0.1190795498214939,0.014179939185689647,-0.9374289336053258,1.029154898511933,-0.6249145193927784,-0.6989001702677384,-0.8632079116294761,0.8288066729289737,True,True,2.0,3.0,True,3.0,3.0,3.0,3.0,7.0,2.0,2.0,2.0,3.0,2.0,102.0,3.0,3.0,False,12.4,3.0,3.0,True,0.4,52.0
3.0,2.0,3.0,2.6,3.0,49.2409898711993,True,1.0,0.9414173609974175,0.8862666475873419,-0.9991882292063095,1.0285477946588142,1.0917769386006178,-0.27110531446472413,-1.072023683992949,0.8386402508851922,True,True,2.0,2.0,True,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,120.6,3.0,2.0,True,1.6,3.0,2.0,True,0.6,33.0
5.0,2.0,3.0,4.0,2.0,66.22334849896241,True,1.0,1.3494738491386287,1.8210796695090263,-0.41102529609965915,1.0356095619834944,0.008784408868106459,-0.7396057864111782,-0.44576961202233367,0.8050572888785678,True,True,2.4,2.4,True,2.0,3.0,3.0,3.0,0.0,4.0,0.0,3.0,2.0,3.0,1.6,2.0,3.0,True,5.2,2.0,2.0,True,0.2,56.0
0.0,2.8,4.0,2.0,2.2,70.0,True,1.0,0.6149301041667284,0.3781390330105035,0.11990890656034571,1.0458471071223332,-0.14021646111168148,-0.005582125602970086,0.99367213413382,0.6262789642872618,True,True,1.0,1.0,True,1.8,2.6,0.0,2.4,2.0,2.0,1.8,4.0,2.0,2.0,2.6,2.6,2.0,True,11.0,2.6,2.8,True,1.0,57.0
3.0,2.0,5.0,2.0,2.0,59.91600483171345,True,1.0,0.1417829951955954,0.020102417726634226,-0.8538271797886087,1.0300190715968625,-0.04030887493405391,0.7381518137283002,0.14297532569673038,0.7576366557842091,True,True,2.6,1.8,True,2.0,2.0,2.4,2.0,1.0,2.2,1.0,3.0,2.0,3.0,26.2,2.0,3.0,True,6.8,2.0,2.6,True,0.8,38.0
3.0,2.4,4.0,2.0,2.0,42.050740462938165,True,1.0,0.26337095456187054,0.06936425970683088,-0.7580515926727069,1.0310742585468775,1.139919260451839,-0.4119793090386981,0.09201908388892015,0.7626341104069811,True,True,3.0,3.0,True,2.4,3.0,1.0,3.0,0.0,1.4,2.0,3.0,2.0,3.0,120.4,3.0,3.0,True,9.6,3.0,3.0,False,0.6,44.0
5.0,2.2,3.8,3.0,2.0,70.0,False,1.0,1.8250008092432428,3.330627953738491,0.2652781485935103,1.0497643388083109,0.06320125036701119,0.5042537816376966,-1.0278538274228266,0.8366555650704587,True,True,2.2,2.0,True,2.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,2.0,4.0,3.6,2.0,3.0,True,1.0,2.0,2.0,True,1.0,43.0
2.0,3.0,2.0,3.0,3.0,38.728781768030956,True,1.0,-1.0737394965491596,1.1529165064496427,-0.4525682655005163,1.0349980782311081,-0.033429699530284566,-0.44538783395838344,1.4177360534405725,0.48793064978069833,True,True,3.0,2.0,True,2.0,2.0,2.0,3.0,2.0,1.6,2.0,3.0,2.0,4.0,101.6,2.0,4.0,True,22.0,3.0,2.0,True,0.0,57.0
3.0,1.6,2.4,3.0,2.0,70.0,False,1.0,0.7918092186470322,0.6269618387344237,0.8394203871719937,1.0751107425947433,-0.5069676247190029,-0.33024580617567784,0.9595768595538375,0.6342244890508654,False,False,2.0,2.0,True,1.0,2.0,2.0,2.0,3.4,3.0,1.0,2.0,2.0,0.0,3.0,2.0,2.0,True,10.0,1.0,1.0,True,0.0,21.0
2.0,1.0,3.6,2.2,1.4,52.669573188992466,False,1.0,0.9252302145091139,0.8560509498405809,1.6862154446937072,1.3018948814030884,1.175124846634659,3.627411977106112,-1.94907139277137,0.8700032244671507,False,True,1.6,1.8,False,1.0,1.8,1.8,1.6,1.0,4.0,1.0,2.0,1.0,3.0,16.6,1.0,2.6,False,8.6,1.0,1.0,False,1.6,29.0
2.0,3.0,5.0,2.0,1.0,44.285850686,True,1.0,-1.1157422286031955,1.2448807206884254,-0.5753233452270694,1.0333079926839337,-0.43500586286690485,-0.23693187406820385,1.0858792190372657,0.6029541199730335,True,True,2.2,2.0,True,3.0,2.6,2.0,3.0,4.0,2.6,1.0,2.0,1.4,3.0,123.4,3.0,2.0,True,19.0,3.0,2.0,True,1.0,32.0
2.0,2.0,4.0,4.0,2.0,63.354433885789355,True,1.0,-0.9879056343332581,0.975957542347397,0.5534877453438635,1.0599134373594066,0.6049678116360193,0.03165901846911421,0.041900209611494196,0.7673523981324203,True,True,2.0,2.0,False,2.0,2.0,2.0,2.0,4.0,2.2,1.0,3.0,2.0,3.0,222.0,2.0,3.0,False,22.0,2.0,2.0,True,0.0,40.0
2.0,3.0,3.0,2.4,3.0,53.364912992312554,True,1.0,-1.0832774674916594,1.1734900715751433,-0.4777507332856992,1.0346375278741038,0.23093616253937463,-0.2566999726972672,-0.609136924723591,0.815096147773281,True,True,3.0,2.0,True,2.0,2.0,3.0,2.0,3.0,3.4,1.0,3.0,2.0,3.0,2.2,3.0,3.0,False,19.0,3.0,2.0,True,1.0,55.0
1.0,3.0,2.0,3.0,2.0,39.8572656174,True,1.0,-0.7149276939487283,0.5111216075748466,-0.3577918541798111,1.036425069801115,0.19177955112052514,-0.008942815966409818,-1.2754740023660316,0.8471922041519888,True,True,2.0,2.0,False,2.0,3.0,3.0,2.0,2.0,2.4,1.0,2.0,3.0,3.0,119.8,2.0,3.0,False,14.0,2.0,3.0,True,1.0,43.0
3.0,2.0,3.0,2.0,2.0,36.8707025215888,True,1.0,-1.2647062822957613,1.599481980478366,0.0698845093924239,1.0446379720615993,0.014052924457134273,0.05068698897093827,1.9733616612601035,0.005613986457104779,True,True,2.0,2.0,True,2.0,2.0,2.0,2.0,6.0,2.4,1.0,2.0,2.0,2.0,1.2,2.0,4.0,True,25.0,2.0,2.0,True,2.0,43.0
5.0,3.0,5.0,4.0,3.0,47.0569842,True,1.0,1.5486739054243832,2.3983908653424115,-1.2848154210827871,1.0260400122290059,-0.1259771302294991,-0.11345916790484513,-0.09815216069178047,0.779595079679324,True,True,2.0,2.0,True,3.0,3.0,2.4,3.0,2.0,3.0,1.6,4.0,3.0,4.0,1.0,3.0,4.0,True,4.0,3.0,3.0,True,1.0,64.0
